Image A,Image B,ROI,Auto Threshold A,Auto Threshold B,Using Stack Histogram,Pearson's Coefficient,Spearman's Rank Coefficient,M1,M2,Threshold A,Threshold B,Thresholded M1,Thresholded M2,Overlap Coefficient,k1,k2,Thresholded Overlap Coefficient,Thresholded k1,Thresholded k2,ICQ,Area tot,Area A,Area B,Area Overlap,Timepoint,ColocSourceFile,SampleID,Group,Image,Area,Ch2_Mean,Ch2_IntDen,Ch2_Min,Ch2_Max,Ch2_StdDev,Ch3_Mean,Ch3_IntDen,Ch3_Min,Ch3_Max,Ch3_StdDev,IntensitySourceFile
C2-A2_001_MIP.tif T1,C3-A2_001_MIP.tif T1,a96909ea-73ec-11f1-ba1f-acde48001122,Otsu,Otsu,FALSE,0.31,0.211,1,1,2208,11165,0.035,0.991,0.408,0.493,0.338,0.913,4.404,0.189,0.5,2124.142,1266.972,30.584,30.174,1,A2_001_MIP_colocalisation.csv,A2_001_MIP,A2_,A2_001_MIP.tif,2124.142,2347.895,4987263.483,167,13091,1017.03,980.614,2082963.317,139,59313,2928.188,A2_001_MIP_intensity.csv
C2-A2_001_MIP.tif T1,C3-A2_001_MIP.tif T1,a96911c4-73ec-11f1-ba1f-acde48001122,Otsu,Otsu,FALSE,0.497,0.4,1,1,3730,5156,0.075,0.996,0.603,0.313,1.162,0.922,1.3,0.654,0.5,1075.826,679.979,34.868,34.657,1,A2_001_MIP_colocalisation.csv,A2_001_MIP,A2_,A2_001_MIP.tif,1075.826,3988.814,4291269.574,182,21616,1406.835,1066.144,1146985.641,156,41089,1917.105,A2_001_MIP_intensity.csv
C2-A2_003_MIP.tif T1,C3-A2_003_MIP.tif T1,d77efb6e-73ec-11f1-bdaf-acde48001122,Otsu,Otsu,FALSE,0.412,0.323,1,1,1675,8756,0.069,0.975,0.576,1.061,0.312,0.907,4.534,0.181,0.5,587.967,403.335,20.186,19.564,1,A2_003_MIP_colocalisation.csv,A2_003_MIP,A2_,A2_003_MIP.tif,587.967,1890.793,1111724.81,155,12942,796.857,1784.577,1049273.157,172,58755,3336.099,A2_003_MIP_intensity.csv
C2-A2_004_MIP.tif T1,C3-A2_004_MIP.tif T1,e0a701b4-73ec-11f1-bdaf-acde48001122,Otsu,Otsu,FALSE,0.279,0.153,1,1,2528,7967,0.098,0.774,0.551,0.851,0.356,0.881,3.153,0.246,0.5,1474.689,853.074,86.12,66.145,1,A2_004_MIP_colocalisation.csv,A2_004_MIP,A2_,A2_004_MIP.tif,1474.689,2650.86,3909194.766,179,14014,1052.939,2187.129,3225335.786,148,65535,3827.35,A2_004_MIP_intensity.csv
C2-A2_004_MIP.tif T1,C3-A2_004_MIP.tif T1,e0a70fe2-73ec-11f1-bdaf-acde48001122,Otsu,Otsu,FALSE,0.217,0.259,1,1,3335,2167,0.104,0.81,0.646,0.219,1.907,0.908,0.769,1.072,0.5,966.175,609.304,75.674,59.643,1,A2_004_MIP_colocalisation.csv,A2_004_MIP,A2_,A2_004_MIP.tif,966.175,3604.162,3482252.451,283,50027,1639.066,849.132,820410.471,155,15788,1037.667,A2_004_MIP_intensity.csv
C2-A2_005_MIP.tif T1,C3-A2_005_MIP.tif T1,effc4e6c-73ec-11f1-bdaf-acde48001122,Otsu,Otsu,FALSE,0.333,0.241,1,1,2373,18504,0.078,0.958,0.521,1.622,0.167,0.911,8.011,0.104,0.5,807.691,568.638,37.063,34.891,1,A2_005_MIP_colocalisation.csv,A2_005_MIP,A2_,A2_005_MIP.tif,807.691,2691.912,2174233.25,178,11418,986.812,3975.824,3211236.831,186,65535,7989.31,A2_005_MIP_intensity.csv
C2-A2_006_MIP.tif T1,C3-A2_006_MIP.tif T1,fb082394-73ec-11f1-bdaf-acde48001122,Otsu,Otsu,FALSE,0.431,0.209,1,1,2387,9379,0.064,0.951,0.521,0.674,0.402,0.88,3.033,0.255,0.5,1330.241,821.047,35.337,32.896,1,A2_006_MIP_colocalisation.csv,A2_006_MIP,A2_,A2_006_MIP.tif,1330.241,2559.726,3405053.423,180,19637,1123.223,1428.083,1899695.541,150,61321,3323.498,A2_006_MIP_intensity.csv
C2-A2_007_MIP.tif T1,C3-A2_007_MIP.tif T1,aad3e11e-73cf-11f1-8377-b83fd22aed90,Otsu,Otsu,FALSE,0.444,0.114,1,1,2937,6766,0.082,0.986,0.542,0.439,0.67,0.92,1.842,0.46,0.5,853.673,555.811,31.453,30.784,1,A2_007_MIP_colocalisation.csv,A2_007_MIP,A2_,A2_007_MIP.tif,853.673,3300.113,2817217.607,223,25829,1566.652,1205.756,1029321.568,146,35213,2700.355,A2_007_MIP_intensity.csv
C2-A2_008_MIP.tif T1,C3-A2_008_MIP.tif T1,24226370-73ed-11f1-bdaf-acde48001122,Otsu,Otsu,FALSE,0.452,0.143,1,1,5456,8837,0.663,0.37,0.641,1.058,0.388,0.906,1.962,0.419,0.5,1089.534,47.86,92.434,29.645,1,A2_008_MIP_colocalisation.csv,A2_008_MIP,A2_,A2_008_MIP.tif,1089.534,2994.325,3262417.615,165,27282,1510.174,2898.521,3158035.933,151,52408,4717.217,A2_008_MIP_intensity.csv
C2-A2_012_MIP.tif T1,C3-A2_012_MIP.tif T1,1646b6b4-73f4-11f1-a853-acde48001122,Otsu,Otsu,FALSE,0.381,0.164,1,1,6144,5305,0.688,0.265,0.613,0.557,0.675,0.867,1.111,0.677,0.5,1012.099,23.496,72.846,15.081,1,A2_012_MIP_colocalisation.csv,A2_012_MIP,A2_,A2_012_MIP.tif,1012.099,3175.626,3214047.735,263,23382,1402.772,1661.328,1681427.852,141,36564,2680.777,A2_012_MIP_intensity.csv
C2-A2_012_MIP.tif T1,C3-A2_012_MIP.tif T1,1646c122-73f4-11f1-a853-acde48001122,Otsu,Otsu,FALSE,0.373,0.267,1,1,3303,8449,0.105,0.907,0.573,0.668,0.492,0.899,2.486,0.325,0.499,1648.22,1037.038,95.602,84.535,1,A2_012_MIP_colocalisation.csv,A2_012_MIP,A2_,A2_012_MIP.tif,1648.22,3604.021,5940216.998,186,21055,1544.581,2210.589,3643536.458,158,56697,4000.901,A2_012_MIP_intensity.csv
C2-A2_013_MIP.tif T1,C3-A2_013_MIP.tif T1,3115bb66-73f4-11f1-a853-acde48001122,Otsu,Otsu,FALSE,0.147,0.135,1,1,5599,2688,0.127,0.078,0.527,0.344,0.807,0.82,0.578,1.163,0.5,1618.163,64.689,138.134,8.297,1,A2_013_MIP_colocalisation.csv,A2_013_MIP,A2_,A2_013_MIP.tif,1618.163,1961.227,3173585.343,193,33203,1745.188,1029.056,1665181.248,168,32646,1370.312,A2_013_MIP_intensity.csv
C2-A2_015_MIP.tif T1,C3-A2_015_MIP.tif T1,40d87d54-73f4-11f1-a853-acde48001122,Otsu,Otsu,FALSE,0.396,0.369,1,1,1921,11244,0.065,0.922,0.504,0.918,0.276,0.843,3.885,0.183,0.5,1420.879,905.934,39.375,35.384,1,A2_015_MIP_colocalisation.csv,A2_015_MIP,A2_,A2_015_MIP.tif,1420.879,2115.644,3006075.468,143,20413,1109.552,1638.79,2328522.747,141,65163,4033.726,A2_015_MIP_intensity.csv
C2-A2_015_MIP.tif T1,C3-A2_015_MIP.tif T1,40d881e6-73f4-11f1-a853-acde48001122,Otsu,Otsu,FALSE,0.204,0.101,1,1,4643,4540,0.057,0.823,0.5,0.182,1.373,0.889,1.022,0.773,0.5,2008.565,1205.709,70.698,55.183,1,A2_015_MIP_colocalisation.csv,A2_015_MIP,A2_,A2_015_MIP.tif,2008.565,4954.078,9950588.983,177,27534,2163.323,917.992,1843845.921,141,29685,1740.656,A2_015_MIP_intensity.csv
C2-A2_016_MIP.tif T1,C3-A2_016_MIP.tif T1,4d044018-73f4-11f1-a853-acde48001122,Otsu,Otsu,FALSE,0.194,0.089,1,1,3268,6212,0.102,0.701,0.568,0.567,0.57,0.892,2.057,0.387,0.5,928.608,509.206,66.121,43.717,1,A2_016_MIP_colocalisation.csv,A2_016_MIP,A2_,A2_016_MIP.tif,928.608,3343.501,3104802.222,225,26880,1539.55,2023.201,1878760.595,175,39602,3061.218,A2_016_MIP_intensity.csv
C2-A2_019_MIP.tif T1,C3-A2_019_MIP.tif T1,a67f4048-73f4-11f1-80a3-acde48001122,Otsu,Otsu,FALSE,0.333,0.093,1,1,1977,4008,0.082,0.827,0.603,0.48,0.758,0.86,1.542,0.479,0.5,1768.961,901.134,64.525,50.829,1,A2_019_MIP_colocalisation.csv,A2_019_MIP,A2_,A2_019_MIP.tif,1768.961,1964.607,3475312.43,125,21008,1052.946,946.566,1674438.798,151,31938,1500.67,A2_019_MIP_intensity.csv
C2-A2_020_MIP.tif T1,C3-A2_020_MIP.tif T1,d16d25b8-73f4-11f1-80a3-acde48001122,Otsu,Otsu,FALSE,0.481,0.108,1,1,1787,6314,0.083,0.941,0.575,0.716,0.463,0.888,2.535,0.311,0.5,1440.162,831.762,43.999,40.642,1,A2_020_MIP_colocalisation.csv,A2_020_MIP,A2_,A2_020_MIP.tif,1440.162,1873.501,2698144.731,162,15710,858.111,1113.773,1604013.878,155,35777,2307.815,A2_020_MIP_intensity.csv
C2-A2_021_MIP.tif T1,C3-A2_021_MIP.tif T1,e242afde-73f4-11f1-80a3-acde48001122,Otsu,Otsu,FALSE,0.376,0.224,1,1,2458,10280,0.12,0.828,0.579,1.158,0.289,0.837,3.424,0.205,0.5,1232.151,672.608,73.632,58.434,1,A2_021_MIP_colocalisation.csv,A2_021_MIP,A2_,A2_021_MIP.tif,1232.151,2520.635,3105802.432,161,20891,1302.218,2732.568,3366936.609,177,65535,4974.775,A2_021_MIP_intensity.csv
